sample_id,sample_date,no3_n,k,mg,ca,nh4_n
Q1,1988-08-24,11,0.48,0.47,0.75,NA
Q1,1988-08-24,10,0.9,0.79,1.32,NA
Q1,1988-08-30,150,0.78,2.62,3.29,NA
Q1,1988-09-06,120,0.69,2.76,3.9,15
Q1,1988-09-13,192,0.79,1.53,0.7,NA
Q1,1988-09-20,150,0.75,2.64,3.75,47
Q1,1988-09-27,149,0.71,2.66,4.21,NA
Q1,1988-10-04,43,0.73,2.09,3.05,59
Q1,1988-10-11,151,0.75,2.58,5.02,49
Q1,1988-10-18,154,NA,NA,NA,46
Q1,1988-10-25,146,0.88,2.56,3.97,NA
Q1,1988-11-01,143,0.86,2.72,4.28,NA
Q1,1988-11-07,137,0.87,2.73,4.34,NA
Q1,1988-11-15,130,0.99,2.68,4.22,NA
Q1,1988-11-22,139,0.86,2.31,3.82,NA
Q1,1988-11-29,139,0.82,2.8,4.2,NA
Q1,1988-12-06,139,0.82,2.5,4.24,NA
Q1,1988-12-13,149,1.05,2.65,4.23,NA
Q1,1988-12-20,156,0.93,2.75,4.26,NA
Q1,1988-12-27,156,0.93,2.68,4.15,NA
Q1,1989-01-03,NA,0.23,0.49,NA,NA
Q1,1989-01-10,221,0.97,2.49,4.09,NA
Q1,1989-01-17,10,0.99,2.73,4.43,NA
Q1,1989-01-24,155,0.96,2.79,4.4,NA
Q1,1989-01-31,171,0.99,2.87,4.48,NA
Q1,1989-02-07,176,0.95,2.78,4.5,NA
Q1,1989-02-14,179,0.78,2.94,4.32,NA
Q1,1989-02-21,159,0.85,2.77,4.18,NA
Q1,1989-02-28,159,0.94,2.64,3.94,NA
Q1,1989-03-07,152,0.83,2.91,4.29,NA
Q1,1989-03-09,NA,NA,NA,NA,NA
Q1,1989-03-14,10,NA,NA,NA,NA
Q1,1989-03-14,NA,0.89,2.62,4.1,NA
Q1,1989-03-21,148,0.79,2.88,4.05,NA
Q1,1989-03-28,147,0.79,2.82,3.98,NA
Q1,1989-04-04,146,0.82,2.76,3.51,NA
